archivo,titulo,autor_fuente,fecha,album,categoria,palabras_aprox
01_magia.txt,Magia,Shakira,24-06-91,Magia,Balada pop,120
02_lejos_de_tu_amor.txt,Lejos de tu amor,Shakira,24-06-91,Magia,Pop,140
03_esta_noche_voy_contigo.txt,Esta noche voy contigo,Shakira,24-06-91,Magia,Pop latino,130
04_tus_gafas_oscuras.txt,Tus gafas oscuras,Shakira,24-06-91,Magia,Balada pop,125
05_cazador_de_amor.txt,Cazador de amor,Shakira,24-06-91,Magia,Pop,130
06_necesito_de_ti.txt,Necesito de ti,Shakira,24-06-91,Magia,Pop,120
07_suenos.txt,Suenios,Shakira,24-06-91,Magia,Balada,135
08_cuentas_conmigo.txt,Cuentas conmigo,Shakira,24-06-91,Magia,Balada,150
10_eres.txt,Eres,Shakira,29-03-93,Peligro,Balada pop,140
11_tu_seras_historia.txt,Seras la historia de mi vida,Shakira,29-03-93,Peligro,Pop latino,150
12_brujeria.txt,Brujeria,Shakira,29-03-93,Peligro,Pop rock,150
13_peligro.txt,Peligro,Shakira,29-03-93,Peligro,Pop,130
14_quince_anos.txt,Quince anios,Shakira,29-03-93,Peligro,Pop romantico,145
15_controlas_mi_destino.txt,Controlas mi destino,Shakira,29-03-93,Peligro,Pop,140
16_1968.txt,1968,Shakira,29-03-93,Peligro,Pop,140
17_eterno_amor.txt,Eterno amor,Shakira,29-03-93,Peligro,Pop,140
18_ultimo_momento.txt,Ultimo momento,Shakira,29-03-93,Peligro,Pop,140
19_te_espero_sentada.txt,Te espero sentada,Shakira,06-10-95,Pies Descalzos,Balada,130
20_estoy_aqui.txt,Estoy aquí,Shakira,06-10-95,Pies Descalzos,Pop latino,160
21_antologia.txt,Antologia,Shakira,06-10-95,Pies Descalzos,Balada pop,200
22_donde_estas_corazon.txt,Dónde Estás Corazón,Shakira,06-10-95,Pies Descalzos,Pop latino,160
23_quiero.txt,Quiero,Shakira,06-10-95,Pies Descalzos,Pop,150
24_te_necesito.txt,Te necesito,Shakira,06-10-95,Pies Descalzos,Pop,130
25_pienso_en_ti.txt,Pienso en Ti,Shakira,06-10-95,Pies Descalzos,Balada,140
26_pies_descalzos_suenos_blancos.txt,"Pies Descalzos, Sueños Blancos",Shakira,06-10-95,Pies Descalzos,Pop con critica,170
27_se_quiere_se_mata.txt,"Se Quiere, Se Mata",Shakira,06-10-95,Pies Descalzos,Pop con critica,160
28_donde_estan_ladrones.txt,Donde estan los ladrones,Shakira,29-09-98,Donde Estan Los Ladrones,Pop rock,160
29_ciega_sordomuda.txt,"Ciega,  sordomuda",Shakira,29-09-98,Donde Estan Los Ladrones,Pop latino,165
30_inevitable.txt,Inevitable,Shakira,29-09-98,Donde Estan Los Ladrones,Pop rock,160
31_ojos_asi.txt,Ojos asi,Shakira,29-09-98,Donde Estan Los Ladrones,Electro latino,175
32_no_creo.txt,No creo,Shakira,29-09-98,Donde Estan Los Ladrones,Pop,155
33_tu.txt,Tu,Shakira,29-09-98,Donde Estan Los Ladrones,Balada pop,170
34_octavo_dia.txt,Octavo dia,Shakira,29-09-98,Donde Estan Los Ladrones,Rock,180
35_sombra_de_ti.txt,Sombra de ti,Shakira,29-09-98,Donde Estan Los Ladrones,Balada,145
36_moscas_en_la_casa.txt,Moscas En La Casa,Shakira,29-09-98,Donde Estan Los Ladrones,Balada pop,150
37_que_vuelvas.txt,Que Vuelvas,Shakira,29-09-98,Donde Estan Los Ladrones,Balada,145
38_si_te_vas.txt,Si Te Vas,Shakira,29-09-98,Donde Estan Los Ladrones,Pop latino,160
39_se_quiere_se_mata.txt,"Se quiere, se mata",Shakira,29-09-98,Donde Estan Los Ladrones,Pop con critica,160
40_en_tus_pupilas.txt,En tus pupilas,Shakira,03-06-05,Fijacion Oral,Balada pop,155
41_la_pared.txt,La Pared,Shakira,03-06-05,Fijacion Oral,Balada,150
42_las_de_la_intuicion.txt,Las de la Intuicion,Shakira,03-06-05,Fijacion Oral,Pop electronico,165
43_no.txt,No,Shakira,03-06-05,Fijacion Oral,Balada pop,180
44_dia_especial.txt,Dia especial,Shakira,03-06-05,Fijacion Oral,Pop rock,160
45_lo_imprescindible.txt,Lo imprescindible,Shakira,03-06-05,Fijacion Oral,Balada,150
46_dia_de_enero.txt,Día de Enero,Shakira,03-06-05,Fijacion Oral,Balada pop,160
47_escondite_ingles.txt,Escondite Inglés,Shakira,03-06-05,Fijacion Oral,Pop rock,150
48_la_tortura.txt,La Tortura,Shakira,03-06-05,Fijacion Oral,Reggaeton pop,170
49_obtener_un_si.txt,Obtener un Sí,Shakira,03-06-05,Fijacion Oral,Bossa nova,155
50_la_la_la_brasil.txt,La La La (Brasil 2014),Shakira,25-03-14,Shakira,Pop mundialista,180
51_loca_por_ti.txt,Loca por Ti,Shakira,25-03-14,Shakira,Balada pop,150
52_nunca_me_acuerdo_de_olvidarte.txt,Nunca Me Acuerdo de Olvidarte,Shakira,25-03-14,Shakira,Pop rock,160
53_gordita.txt,Gordita,Shakira,29-03-10,Shakira,Urbano,140
54_lo_hecho_esta_hecho.txt,Lo hecho esta hecho,Shakira,29-03-10,Shakira,Pop latino,150
55_gitana.txt,Gitana,Shakira,29-03-10,Shakira,Pop fusion,160
56_me_enamore.txt,Me enamore,Shakira,26-05-17,El Dorado,Pop latino,170
57_chantaje.txt,Chantaje,Shakira,26-05-17,El Dorado,Reggaeton pop,160
58_perro_fiel.txt,Perro fiel,Shakira,26-05-17,El Dorado,Reggaeton,150
59_nada.txt,Nada,Shakira,26-05-17,El Dorado,Balada pop,140
60_amarillo.txt,Amarillo,Shakira,26-05-17,El Dorado,Pop latino,150
61_deja_vu.txt,Deja Vu,Shakira,26-05-17,El Dorado,Bachata,155
62_la_bicicleta.txt,La Bicicleta,Shakira,26-05-17,El Dorado,Vallenato pop,160
63_toneladas.txt,Toneladas,Shakira,26-05-17,El Dorado,Balada,145
64_trap.txt,Trap,Shakira,26-05-17,El Dorado,Trap latino,150
65_copa_vacia.txt,Copa Vacia,Shakira,22-03-24,Las Mujeres Ya No Lloran,Pop latino,155
66_el_jefe.txt,El Jefe,Shakira,22-03-24,Las Mujeres Ya No Lloran,Regional colombiano,160
67_punteria.txt,Punteria,Shakira,22-03-24,Las Mujeres Ya No Lloran,Electro pop,155
68_acrostico.txt,Acrostico,Shakira,22-03-24,Las Mujeres Ya No Lloran,Balada,180
69_tqg.txt,TQG,Shakira,22-03-24,Las Mujeres Ya No Lloran,Reggaeton,150
70_te_felicito.txt,Te Felicito,Shakira,22-03-24,Las Mujeres Ya No Lloran,Electro pop,145
71_monotonia.txt,Monotonia,Shakira,22-03-24,Las Mujeres Ya No Lloran,Bachata pop,150
72_cohete.txt,Cohete,Shakira,22-03-24,Las Mujeres Ya No Lloran,Pop latino,140
73_como_donde_y_cuando.txt,Cómo Dónde y Cuándo,Shakira,22-03-24,Las Mujeres Ya No Lloran,Pop,150
74_entre_parentesis.txt,Entre Paréntesis,Shakira,22-03-24,Las Mujeres Ya No Lloran,Pop rock,155
75_la_fuerte.txt,La Fuerte,Shakira,22-03-24,Las Mujeres Ya No Lloran,Electro pop,160
76_nassau.txt,Nassau,Shakira,22-03-24,Las Mujeres Ya No Lloran,Balada tropical,140
77_bzrp_session_53.txt,Shakira Bzrp Music Sessions Vol. 53,Shakira,22-03-24,Las Mujeres Ya No Lloran,Electro pop,170
78_tiempo_sin_verte.txt,Tiempo Sin Verte,Shakira,22-03-24,Las Mujeres Ya No Lloran,Balada,145
79_probaste _ultima.txt,Última,Shakira,22-03-24,Las Mujeres Ya No Lloran,Balada pop,150
